name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,star(s)
La Toque,2019,38.30351,-122.28349,San Francisco,United States,94573,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1
Bouchon,2019,38.40258,-122.3619,San Francisco,United States,94599,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1
Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,United States,94573,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1
Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,United States,95436,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1
The Kitchen,2019,38.58894,-121.41424,Sacramento,United States,95825,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1
Madrona Manor,2019,38.60428,-122.88647,San Francisco,United States,95448,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1
Harbor House,2019,39.135876,-123.719444,San Francisco,United States,,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1
Shin Sushi,2019,34.15784,-118.49415,Los Angeles,United States,91436,Japanese,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1
Rustic Canyon,2019,34.024952,-118.49118,Los Angeles,United States,90401,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1
Dialogue,2019,34.01679,-118.49748,Los Angeles,United States,90401,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1
Kato,2019,34.041683,-118.460915,Los Angeles,United States,90025,Asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1
CUT,2019,34.067036,-118.401024,Los Angeles,United States,90212,Steakhouse,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1
Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,United States,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1
Shunji,2019,34.028496,-118.45195,Los Angeles,United States,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1
Maude,2019,34.064346,-118.39904,Los Angeles,United States,90212,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1
Mori Sushi,2019,34.033398,-118.44229,Los Angeles,United States,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1
Trois Mec,2019,34.084255,-118.33851,Los Angeles,United States,90028,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1
Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,United States,90028,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1
Kali,2019,34.083443,-118.32455,Los Angeles,United States,90028,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1
Le Comptoir,2019,34.06354,-118.30057,Los Angeles,United States,90020,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1
Q Sushi,2019,34.046883,-118.255844,Los Angeles,United States,90017,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1
Shibumi,2019,34.044155,-118.256134,Los Angeles,United States,90014,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1
